ID_PROYECTO;Comienzo de obra;Fin de obra;Nombre de obra;DescripciÛn;  Monto Total  ; Sector ;Avance Financiero;Avance Fisico;ID_ENTIDAD_EJECUTORA;Duracion Obra (Dias); Objetivo General;ID_TIPO_PROYECTO;Localidad;Provincia;Etapa
10012464;2011;2023;PAVIMENTACI”N RN 23  RN. 0023   (ING. JACOBACCI  COMALLO);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 3.071.233.631 ; OBRAS VIALES ;95%;100%;DIRECCI”N NACIONAL DE VIALIDAD;4415;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;16;25 DE MAYO;RÌo Negro;En EjecuciÛn
10012488;2011;2023;N/A  RN. 0018   (III  INTERSECCION R.P. N 20  A SANDOVAL);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 9.949.044.070 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;4359;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;11;VILLAGUAY;Entre RÌos;Finalizada
10012499;2011;2024;PAVIMENTACI”N RN 76 PASO PIRCAS NEGRAS  RN. 0076   (QUEBRADA DE SANTO DOMINGO  PIRCAS NEGRAS);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 14.451.607.731 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;4596;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;16;CAPITAL;La Rioja;En EjecuciÛn
10012502;2011;2020;AUTOPISTA RN 16 RESISTENCIA  R. S. PE—A  RN. 0016   (EMP. R N 11  PEAJE MAKALLE);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 1.707.879.281 ; OBRAS VIALES ;100%;98%;DIRECCI”N NACIONAL DE VIALIDAD;3288;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;11;SAN FERNANDO;Chaco;Finalizada
10012515;2011;2022;ESTABILIZACI”N CERRO CHENQUE  RN. 0003   (ACC. A COMODORO RIV.);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 1.015.121.253 ; OBRAS VIALES ;94%;99%;DIRECCI”N NACIONAL DE VIALIDAD;3887;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;17;ESCALANTE;Chubut;Finalizada
10012535;2011;2023;RN. 0022   (CHICHINALES  CIPOLLETTI);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 5.307.328.137 ; OBRAS VIALES ;96%;100%;DIRECCI”N NACIONAL DE VIALIDAD;4143;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;11;GENERAL ROCA;RÌo Negro;Otra
10012563;2011;2022;RN. 0022   (CHICHINALES  CIPOLLETTI);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 4.232.750.600 ; OBRAS VIALES ;100%;99%;DIRECCI”N NACIONAL DE VIALIDAD;3794;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;11;GENERAL ROCA;RÌo Negro;Otra
10012573;2011;2023;PAVIMENTACI”N RN 23  RN. 0023   (ING. JACOBACCI  COMALLO);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 2.280.414.337 ; OBRAS VIALES ;96%;100%;DIRECCI”N NACIONAL DE VIALIDAD;4059;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;16;PILCANIYEU;RÌo Negro;Otra
10012599;2011;2024;PAVIMENTACI”N RN 23  RN. 0023   (PILCANIYEU VIEJO  EMPALME RUTA NACIONAL N40);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 6.604.160.113 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;4652;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;16;PILCANIYEU;RÌo Negro;Otra
10012651;2021;2024;AUTOPISTA RN 158 SAN FRANCISCO  RÕO CUARTO  RN. 0158   (RUTA NAC N9  RUTA PROV N 2);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 35.573.539.498 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;1095;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;13;GENERAL SAN MARTÕN;CÛrdoba;En EjecuciÛn
10012674;2013;2023;RN. 0022   (PLOTTIER EMP. RN 237 (ARROYITO));AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 4.362.707.550 ; OBRAS VIALES ;100%;98%;DIRECCI”N NACIONAL DE VIALIDAD;3682;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;11;CONFLUENCIA;NeuquÈn;En EjecuciÛn
10012677;2013;2023;OBRAS DE SEGURIDAD RN 12  MIS  RN. 0012   (RUTA NAC. N 12  PUERTO ESPERANZA);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 157.483.196 ; OBRAS VIALES ;95%;99%;DIRECCI”N NACIONAL DE VIALIDAD;3682;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;18;IGUAZ⁄;Misiones;Finalizada
10012755;2014;2023;REPAVIMENTACION R.P. N 329  RP. 0329   (CONCEPCION  MONTEAGUDO);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 3.017.481.996 ; OBRAS VIALES ;1%;98%;DIRECCI”N NACIONAL DE VIALIDAD;3011;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;19;CAPITAL;Tucum·n;Finalizada
10012766;2012;2021;REHABILITACI”N RN 35  CBA  RN. 0035   (LTE. C/ LA PAMPA  EMP. R.N. N 7);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 271.013.871 ; OTROS ;96%;87%;DIRECCI”N NACIONAL DE VIALIDAD;3364;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;12;RÕO CUARTO;CÛrdoba;Finalizada
10012788;2012;2024;REHABILITACI”N Y MANTENIMIENTO MALLA 630 (RN 25)  RN. 0025   (LAS PLUMAS  EMPALME R.N. N 40);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 6.683.467.940 ; OBRAS VIALES ;40%;98%;DIRECCI”N NACIONAL DE VIALIDAD;4229;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;20;LANGUI—EO;Chubut;Otra
10012792;2012;2023;NUEVA RN 73 LA RIOJA  CHILECITO  RN. 0073   (LOS CAJONES  ANGUINAN);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 15.595.785.356 ; OBRAS VIALES ;97%;99%;DIRECCI”N NACIONAL DE VIALIDAD;4091;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;13;CAPITAL;La Rioja;En EjecuciÛn
10014449;2022;2024;AUTOPISTA RN 3 CA—UELAS  AZUL  RN. 03 205   (AU EZEIZA CA—UELAS  RN. N 3  ACCESO A CA—UELAS (CALLE PELEGRINI).);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 20.665.044.492 ; OBRAS VIALES ;30%;100%;DIRECCI”N NACIONAL DE VIALIDAD;731;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;13;CA—UELAS;Buenos Aires;En EjecuciÛn
10014437;2023;2026;AUTOPISTA RN 5 LUJ√ÅN  BRAGADO  RN. 0005   (MERCEDES  INICIO VARIANTE SUIPACHA);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 19.605.713.458 ; OBRAS VIALES ;60%;100%;DIRECCI”N NACIONAL DE VIALIDAD;1096;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;11;MERCEDES;Buenos Aires;En EjecuciÛn
10012901;2013;2024;PAVIMENTACI”N RP 186 MENDOZA  RP. 186   (R.N.N40  PUESTO DE GUARDAPARQUE);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 4.681.006.723 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;4017;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;21;CAPITAL;Mendoza;Otra
10012911;2013;2022;REHABILITACI”N RN 12  COR  RN. 0012   (ORI C6.2.2  KM. 1023  KM.01090);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 972.591.234 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;3194;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;14;SAN COSME;Corrientes;Finalizada
10011994;2010;2023;RN. VARIAS   (CAMINO DEL BUEN AYRE  TRAMO III);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 18.984.628.861 ; OBRAS VIALES ;1%;85%;DIRECCI”N NACIONAL DE VIALIDAD;5020;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;13;PRESIDENTE PER”N;Buenos Aires;En EjecuciÛn
10012981;2013;2023;TRAVESÕA URBANA DE POSADAS  RN. 0012   (ACCESO AEROPUERTO POSADAS  GARITA KM10 (EMP RN 105));MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 6.056.738.922 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;3743;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;16;CAPITAL;Misiones;En EjecuciÛn
10012990;2013;2023;RN. 0011   (CEMENTERIO PARQUE JAZMIN  AUTODROMO);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 11.460.706.803 ; OBRAS VIALES ;100%;84%;DIRECCI”N NACIONAL DE VIALIDAD;3653;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;11;SAN FERNANDO;Chaco;En EjecuciÛn
10013015;2013;2022;PAVIMENTACI”N RN 23  RN. 0023   (COMALLO  PILCANIYEU VIEJO);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 1.849.183.289 ; OBRAS VIALES ;81%;60%;DIRECCI”N NACIONAL DE VIALIDAD;3035;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;1;PILCANIYEU;RÌo Negro;Finalizada
10013017;2015;2020;REHABILITACI”N Y MANTENIMIENTO MALLA 541 (RN 95)  RN. 0095   (MALLA 541  R.N.N95  KM 1078  EMP. R.P.N9);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 500.653.091 ; OBRAS VIALES ;27%;75%;DIRECCI”N NACIONAL DE VIALIDAD;1827;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;20;O'HIGGINS;Chaco;Finalizada
10013765;2017;2024;R.N. N 7 AUTOPISTA LUJAN  JUNIN  RN. 0007   (SAN ANDRES DE GILES  JUNIN);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 16.670.555.493 ; OBRAS VIALES ;88%;95%;DIRECCI”N NACIONAL DE VIALIDAD;2324;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;13;CHACABUCO;Buenos Aires;En EjecuciÛn
10013763;2018;2023;ACCESOS A BAHÕA BLANCA: BAHÕA BLANCA  TORNQUIST  RN. 0033   (BAHIA BLANCA  TORNQUIST);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 15.070.651.449 ; OBRAS VIALES ;81%;82%;DIRECCI”N NACIONAL DE VIALIDAD;1990;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;13;TORNQUIST;Buenos Aires;En EjecuciÛn
10013040;2013;2024;TUNEL Y ENSANCHE RN 75 LA RIOJA  LOS SAUCES  RN. 0075   (LAS PADERCITAS  DIQUE LOS SAUCES);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 14.745.143.010 ; OBRAS VIALES ;85%;5%;DIRECCI”N NACIONAL DE VIALIDAD;3833;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;13;CAPITAL;La Rioja;En EjecuciÛn
10013114;2014;2021;NUEVOS PUENTES  SAL  RN. 0034   (PIQUIRENDA  SALVADOR MAZZA);ADECUACI”N DE LAS CONDICIONES DE TRANSITABILIDAD; $ 87.162.610 ; OBRAS VIALES ;4%;100%;DIRECCI”N NACIONAL DE VIALIDAD;2655;ADECUACI”N DE LAS CONDICIONES DE TRANSITABILIDAD;22;CAPITAL;Salta;Otra
1003101755;2015;2024;COMPLEJO FEDERAL DE CONDENADOS DE AGOTE  ETAPA I;El MIOPyV a travÈs de la SPTyCOP en su caracter de ejecutor no requiere analisis tÈcnico por parte de la DNPET ni de la DNPyDOP dado que las instancias de planificaciÛn y desarrollo de proyecto son competencia del Ministerio de Justicia. A fin de avanzar con la certificaciÛn ha sido promovido al nivel 5 quedando a la espera de la documentaciÛn requerida para completar el circuito; $ 13.091.790.843 ; ARQUITECTURA ;100%;100%;DIRECCI”N NACIONAL DE GESTI”N DE OBRAS;3379;El MIOPyV a travÈs de la SPTyCOP en su caracter de ejecutor no requiere analisis tÈcnico por parte de la DNPET ni de la DNPyDOP dado que las instancias de planificaciÛn y desarrollo de proyecto son competencia del Ministerio de Justicia. A fin de avanzar con la certificaciÛn ha sido promovido al nivel 5 quedando a la espera de la documentaciÛn requerida para completar el circuito;62;MERCEDES;Buenos Aires;En EjecuciÛn
10013128;2022;2023;N/A  RN. 0022   (ROTONDA ACC. BARRIO LAS BARDAS DE CHOELE CHOEL Y TRAVESIA URBANA A CHOELE CHOEL);ADECUACI”N DE LAS CONDICIONES DE TRANSITABILIDAD; $ 2.698.254.771 ; OBRAS VIALES ;31%;40%;DIRECCI”N NACIONAL DE VIALIDAD;549;ADECUACI”N DE LAS CONDICIONES DE TRANSITABILIDAD;23;AVELLANEDA;RÌo Negro;Otra
10013134;2014;2023;R.N. N 34  AUTOPISTA ROSARIO  SUNCHALES  RN. 0034   (CONSTRUCCION DE 2DA. CALZADA (INT. R.N.N 19 R.P.N 13)CONSTR. DE VARIANTE EN RAFAELA KM  213219);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 29.011.845.888 ; OBRAS VIALES ;24%;40%;DIRECCI”N NACIONAL DE VIALIDAD;3225;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;13;CASTELLANOS;Santa Fe;En EjecuciÛn
10013136;2014;2023;NUEVA RN 73 LA RIOJA  CHILECITO  RN. 0073   (LOS CAJONES  ANGUINAN);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 29.308.055.193 ; OBRAS VIALES ;19%;40%;DIRECCI”N NACIONAL DE VIALIDAD;3361;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;13;CHILECITO;La Rioja;En EjecuciÛn
10013199;2014;2022;AUTOPISTA RN 12 POSADAS  SAN IGNACIO  RN. 0012   (CERRO CORA  SANTA ANA);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 3.217.607.227 ; OBRAS VIALES ;40%;99%;DIRECCI”N NACIONAL DE VIALIDAD;2863;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;24;CANDELARIA;Misiones;Otra
10014453;2023;2025;AUTOPISTA RN 5 LUJ√ÅN  BRAGADO  RN. 0005   (FIN DITRIBUIDOR RP N 41 (KM 96.300)  KM 104.00);AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD; $ 12.900.180.553 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;731;AMPLIACI”N DE LA CAPACIDAD DE TRANSITABILIAD;11;LA PLATA;Buenos Aires;En EjecuciÛn
10014579;2022;2024;SE—ALAMIENTO HORIZONTAL  RN. VARIAS   (SE—ALAMIENTO HORIZONTAL Y VERTICAL  ZONA 7);ADECUACI”N DE LAS CONDICIONES DE TRANSITABILIDAD; $ 11.693.217.121 ; OTROS ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;731;ADECUACI”N DE LAS CONDICIONES DE TRANSITABILIDAD;31;PILAR;Buenos Aires;En EjecuciÛn
10013233;2015;2022;REHABILITACI”N RN 9  SFE  RN. A009   (ROSARIO  CORDOBA);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 1.477.734.945 ; OBRAS VIALES ;100%;2%;DIRECCI”N NACIONAL DE VIALIDAD;2690;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;14;ROSARIO;Santa Fe;Finalizada
10013254;2016;2022;REHABILITACI”N RN 8  BUE  RN. 0008   (CORREDOR VIAL RUTA NAC. N 8);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 1.136.299.790 ; OBRAS VIALES ;0%;43%;DIRECCI”N NACIONAL DE VIALIDAD;1960;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;12;GENERAL L”PEZ;Santa Fe;Finalizada
10013288;2015;2024;R.N. N 34  AUTOPISTA ROSARIO  SUNCHALES  RN. 0034   (DUPLICACION DE CALZADA (INT. R.P. N 13  SUNCHALES));MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 14.612.496.804 ; OBRAS VIALES ;31%;100%;DIRECCI”N NACIONAL DE VIALIDAD;2994;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;18;CASTELLANOS;Santa Fe;En EjecuciÛn
10013295;2016;2021;REHABILITACI”N Y MANTENIMIENTO MALLA 532 (RN 119)  RN. 0119   (EMP. RUTA NAC. N 14  EMP. RUTA NAC. N 123);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 1.160.933.485 ; OBRAS VIALES ;100%;83%;DIRECCI”N NACIONAL DE VIALIDAD;1826;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;20;MONTE CASEROS;Corrientes;Finalizada
1003128950;2023;2025;AMPLIACION DE LA CAPACIDAD DEL RÕO SALADO ‚Äì TRAMO IV ETAPA 2 ‚Äì SUBTRAMO C;El objetivo de la obra es el de superar los factores limitantes de la producciÛn y el desarrollo de la regiÛn en particular reducir los impactos negativos que representan las inundaciones.; $ 9.939.876.993 ; RECURSOS HIDRICOS ;19%;20%;SECRETARÕA DE INFRAESTRUCTURA Y POLÕTICA HÕDRICA;720;El objetivo de la obra es el de superar los factores limitantes de la producciÛn y el desarrollo de la regiÛn en particular reducir los impactos negativos que representan las inundaciones.;105;25 DE MAYO;Buenos Aires;En EjecuciÛn
10014201;2023;2029;N/A  RN. 0022   (EMP. RN N 3  LTE. LA PAMPA / RIO NEGRO);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 9.930.144.422 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;2192;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;20;VILLARINO;Buenos Aires;En EjecuciÛn
10013312;2015;2023;RN. 0008   (TRAMO VI B: PILAR  PERGAMINO);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 9.279.287.687 ; OBRAS VIALES ;1%;2%;DIRECCI”N NACIONAL DE VIALIDAD;3028;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;1;PERGAMINO;Buenos Aires;Finalizada
10013338;2017;2020;MANTENIMIENTO RUTINARIO  CHU  RN. 260   (EMP. R.N.N 40  LIMITE CON CHILE);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 157.835.086 ; OTROS ;38%;56%;DIRECCI”N NACIONAL DE VIALIDAD;933;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;26;RÕO SENGUER;Chubut;Finalizada
10013348;2015;2024;REHABILITACI”N RN 38  CBA  RN. 0038   (VILLA CARLOS PAZ  CRUZ DEL EJE);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 4.448.908.078 ; OBRAS VIALES ;56%;100%;DIRECCI”N NACIONAL DE VIALIDAD;3016;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;14;ISCHILÕN;CÛrdoba;En EjecuciÛn
10013354;2018;2021;REPARACI”N RN 25  RN. 0025   (LAS PLUMAS  PASO DE INDIOS);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 371.167.411 ; OTROS ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;906;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;20;M¡RTIRES;Chubut;Finalizada
10014816;2023;2024;REPARACI”N RN 3  BUE  RN. 0003   (AZUL (INT. RN N 226)  CORONEL DORREGO);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 8.614.367.272 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;549;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;12;CORONEL DORREGO;Buenos Aires;En EjecuciÛn
10013360;2016;2021;REHABILITACI”N RN 8  CBA  RN. 0008   (O.R.I. C8.4.2 RUTA NACIONAL N 8 PCIA DE C”RDOBA);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 694.328.334 ; OBRAS VIALES ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;1882;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;14;RÕO CUARTO;CÛrdoba;Finalizada
10013381;2015;2021;RECONSTRUCCI”N RN 158 LAS VARILLAS  SAN FRANCISCO  RN. 0158   (SAN FRANCISCO  LAS VARILLAS);MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD; $ 1.206.524.716 ; OTROS ;100%;100%;DIRECCI”N NACIONAL DE VIALIDAD;2162;MEJORAMIENTO DE LA ESTRUCTURA Y TRANSITABILIDAD;12;SAN JUSTO;CÛrdoba;Finalizada
